STT_Goc,Chuong,Ten_Chuong,Tu_Vung,Nghia
1080,28,"Chương 28: Khen ngợi, Động viên & Trách móc (称賛・励ましと批判)",接する (せっする),"gắn với, tiếp xúc, trực tiếp"
1081,28,"Chương 28: Khen ngợi, Động viên & Trách móc (称賛・励ましと批判)",属する (ぞくする),thuộc về
1082,28,"Chương 28: Khen ngợi, Động viên & Trách móc (称賛・励ましと批判)",占める (しめる),"chiếm, giữ (vị trí), đứng đầu"
1083,28,"Chương 28: Khen ngợi, Động viên & Trách móc (称賛・励ましと批判)",くたびれる,"bị mệt, sờn, hỏng( quần áo)"
1084,28,"Chương 28: Khen ngợi, Động viên & Trách móc (称賛・励ましと批判)",恵まれる (めぐまれる),"được ban cho, may mắn có được"
1085,29,"Chương 29: Mong ước, Hy vọng & Tương lai (希望・将来と夢)",湧く (わく),"trỗi dậy, trào ra, phát sinh"
1086,29,"Chương 29: Mong ước, Hy vọng & Tương lai (希望・将来と夢)",ほほえむ,cười
1087,29,"Chương 29: Mong ước, Hy vọng & Tương lai (希望・将来と夢)",ふざける,"quậy phá, đùa cợt"
1088,29,"Chương 29: Mong ước, Hy vọng & Tương lai (希望・将来と夢)",悔やむ (くやむ),"hối tiếc, ăn năn, buồn bã, ân hận"
1089,29,"Chương 29: Mong ước, Hy vọng & Tương lai (希望・将来と夢)",ためらう,"chần chừ, lưỡng lự"
1090,29,"Chương 29: Mong ước, Hy vọng & Tương lai (希望・将来と夢)",敬う (うやまう),"tôn trọng, kính trọng"
1091,29,"Chương 29: Mong ước, Hy vọng & Tương lai (希望・将来と夢)",さっぱり,"sảng khoái, thẳng tính"
1092,29,"Chương 29: Mong ước, Hy vọng & Tương lai (希望・将来と夢)",すっきり,"gọn gàng, trong sáng, dễ chịu"
1093,29,"Chương 29: Mong ước, Hy vọng & Tương lai (希望・将来と夢)",実に (じつに),"thực sự là, thực tế, thực ra"
1094,29,"Chương 29: Mong ước, Hy vọng & Tương lai (希望・将来と夢)",思い切り (おもいきり),"thỏa thích, hết cỡ"
1095,29,"Chương 29: Mong ước, Hy vọng & Tương lai (希望・将来と夢)",何となく (なんとなく),"Không hiểu sao, đôi chút, phần nào"
1096,29,"Chương 29: Mong ước, Hy vọng & Tương lai (希望・将来と夢)",何だか (なんだか),"sao mà, không hiểu sao, có cái gì đó"
1097,29,"Chương 29: Mong ước, Hy vọng & Tương lai (希望・将来と夢)",どうにか,"bằng mọi giá, dù thế nào"
1098,29,"Chương 29: Mong ước, Hy vọng & Tương lai (希望・将来と夢)",どうにも,chẳng thể làm gì
1099,29,"Chương 29: Mong ước, Hy vọng & Tương lai (希望・将来と夢)",何とか (なんとか),"điều gì đó, thứ gì đó"
1100,29,"Chương 29: Mong ước, Hy vọng & Tương lai (希望・将来と夢)",何とも (なんとも),"Không... 1 chút nào, có trường hợp"
1101,29,"Chương 29: Mong ước, Hy vọng & Tương lai (希望・将来と夢)",わざと,"cố ý, cố tình"
1102,29,"Chương 29: Mong ước, Hy vọng & Tương lai (希望・将来と夢)",わざわざ,Mất công... ( nhưng không được gì )
1103,29,"Chương 29: Mong ước, Hy vọng & Tương lai (希望・将来と夢)",せっかく,"Mất công... ( nhưng có kết quả ), hiếm lắm mới, nỗ lực phấn đấu"
1104,29,"Chương 29: Mong ước, Hy vọng & Tương lai (希望・将来と夢)",あいにく,"đáng tiếc, không may"
1105,29,"Chương 29: Mong ước, Hy vọng & Tương lai (希望・将来と夢)",案の定 (あんのじょう),như mong đợi
1106,29,"Chương 29: Mong ước, Hy vọng & Tương lai (希望・将来と夢)",いよいよ,"cuối cùng, đã đến lúc, càng ngày càng"
1107,29,"Chương 29: Mong ước, Hy vọng & Tương lai (希望・将来と夢)",さすが,"quả là, như dự đoán, thật đúng là"
1108,29,"Chương 29: Mong ước, Hy vọng & Tương lai (希望・将来と夢)",とにかく,"dù sao thì, nói chung là"
1109,29,"Chương 29: Mong ước, Hy vọng & Tương lai (希望・将来と夢)",ともかく,"dù sao, đặt (cái gì) sang một bên"
1110,29,"Chương 29: Mong ước, Hy vọng & Tương lai (希望・将来と夢)",せめて,ít nhất là
1111,29,"Chương 29: Mong ước, Hy vọng & Tương lai (希望・将来と夢)",せいぜい,"Tối đa, không hơn được nữa, căng lắm là"
1112,29,"Chương 29: Mong ước, Hy vọng & Tương lai (希望・将来と夢)",どうせ,"dù cho, đằng nào thì"
1113,29,"Chương 29: Mong ước, Hy vọng & Tương lai (希望・将来と夢)",ぎっしり,"lèn chặt, chặt kín, sin sit"
1114,29,"Chương 29: Mong ước, Hy vọng & Tương lai (希望・将来と夢)",ずらりと,hàng loạt
1115,29,"Chương 29: Mong ước, Hy vọng & Tương lai (希望・将来と夢)",あっさり,"Thanh đạm, dễ dàng, nhanh chóng"
1116,29,"Chương 29: Mong ước, Hy vọng & Tương lai (希望・将来と夢)",しんと・しいんと,"yên lặng, lặng lẽ"
1117,29,"Chương 29: Mong ước, Hy vọng & Tương lai (希望・将来と夢)",ちゃんと,"nghiêm túc, cẩn thận, chắc chắn, nhanh chóng"
1118,29,"Chương 29: Mong ước, Hy vọng & Tương lai (希望・将来と夢)",続々 (ぞくぞく),"liên tục, nối đuôi nhau"
1119,29,"Chương 29: Mong ước, Hy vọng & Tương lai (希望・将来と夢)",どっと,"bất thình lình, bất chợt"
1120,29,"Chương 29: Mong ước, Hy vọng & Tương lai (希望・将来と夢)",ばったり,"đột nhiên, bất ngờ, tình cờ"
1121,29,"Chương 29: Mong ước, Hy vọng & Tương lai (希望・将来と夢)",さっさと,"nhanh chóng, gấp rút"
1122,29,"Chương 29: Mong ước, Hy vọng & Tương lai (希望・将来と夢)",さっと,"thoắt 1 cái, trong tích tắc"
1123,30,"Chương 30: Trưởng thành, Thành công & Đúc kết (成長・成功と総括)",すっと,"Nhanh như chớp, thoải mái, nhẹ nhàng"
1124,30,"Chương 30: Trưởng thành, Thành công & Đúc kết (成長・成功と総括)",せっせと,"siêng năng, cần cù"
1125,30,"Chương 30: Trưởng thành, Thành công & Đúc kết (成長・成功と総括)",ざっと,"Qua loa, đại khái, lướt qua"
1126,30,"Chương 30: Trưởng thành, Thành công & Đúc kết (成長・成功と総括)",こっそり,"Vụng trộm, lén lút, nhẹ nhàng, rón rén"
1127,30,"Chương 30: Trưởng thành, Thành công & Đúc kết (成長・成功と総括)",生き生き (いきいき),"sinh động, phấn khích, hoạt bát, tràn trề"
1128,30,"Chương 30: Trưởng thành, Thành công & Đúc kết (成長・成功と総括)",ぼんやり,"mờ ảo, không rõ, mông lung"
1129,30,"Chương 30: Trưởng thành, Thành công & Đúc kết (成長・成功と総括)",ふと,"đột nhiên, bất chợt"
1130,30,"Chương 30: Trưởng thành, Thành công & Đúc kết (成長・成功と総括)",じかに,trực tiếp
1131,30,"Chương 30: Trưởng thành, Thành công & Đúc kết (成長・成功と総括)",一度に (いちどに),"1 lúc, 1 lần"
1132,30,"Chương 30: Trưởng thành, Thành công & Đúc kết (成長・成功と総括)",一斉に (いっせいに),"cùng lúc, đồng loạt, đồng thanh"
1133,30,"Chương 30: Trưởng thành, Thành công & Đúc kết (成長・成功と総括)",共に (ともに),cùng với
1134,30,"Chương 30: Trưởng thành, Thành công & Đúc kết (成長・成功と総括)",相互に (そうごに),"lẫn nhau, cùng nhau"
1135,30,"Chương 30: Trưởng thành, Thành công & Đúc kết (成長・成功と総括)",一人一人 (ひとりひとり),"từng người một, lần lượt, mỗi người"
1136,30,"Chương 30: Trưởng thành, Thành công & Đúc kết (成長・成功と総括)",いちいち,"chi li, xét nét, hở 1 chút là..."
1137,30,"Chương 30: Trưởng thành, Thành công & Đúc kết (成長・成功と総括)",所々 (ところどころ),"đây đó, đôi chỗ"
1138,30,"Chương 30: Trưởng thành, Thành công & Đúc kết (成長・成功と総括)",どうか,làm ơn
1139,30,"Chương 30: Trưởng thành, Thành công & Đúc kết (成長・成功と総括)",できれば・できたら,nếu có thể
1140,30,"Chương 30: Trưởng thành, Thành công & Đúc kết (成長・成功と総括)",たいして,"Không...nhiều; không... lắm, so với"
1141,30,"Chương 30: Trưởng thành, Thành công & Đúc kết (成長・成功と総括)",恐らく (おそらく),"có lẽ, e rằng, sợ là"
1142,30,"Chương 30: Trưởng thành, Thành công & Đúc kết (成長・成功と総括)",むしろ,"hơn, tốt"
1143,30,"Chương 30: Trưởng thành, Thành công & Đúc kết (成長・成功と総括)",果たして (はたして),"như dự đoán, thật sự là"
1144,30,"Chương 30: Trưởng thành, Thành công & Đúc kết (成長・成功と総括)",かえって,"ngược lại, ai ngờ là"
1145,30,"Chương 30: Trưởng thành, Thành công & Đúc kết (成長・成功と総括)",必ずしも (かならずしも),"không hẳn, chưa chắc"
1146,30,"Chương 30: Trưởng thành, Thành công & Đúc kết (成長・成功と総括)",単に (たんに),"chỉ, đơn giản"
1147,30,"Chương 30: Trưởng thành, Thành công & Đúc kết (成長・成功と総括)",いまだに,"vẫn chưa, vẫn còn"
1148,30,"Chương 30: Trưởng thành, Thành công & Đúc kết (成長・成功と総括)",ついでに,"nhân tiện, tiện thể"
1149,30,"Chương 30: Trưởng thành, Thành công & Đúc kết (成長・成功と総括)",とりあえず,"tạm thời, trước mắt"
1150,30,"Chương 30: Trưởng thành, Thành công & Đúc kết (成長・成功と総括)",万一(が) (まんいち(が)),"nếu lỡ, bất trắc"
1151,30,"Chương 30: Trưởng thành, Thành công & Đúc kết (成長・成功と総括)",偶然 (ぐうぜん),"ngẫu nhiên, bất ngờ"
1152,30,"Chương 30: Trưởng thành, Thành công & Đúc kết (成長・成功と総括)",たまたま,"tình cờ, ngẫu nhiên"
1153,30,"Chương 30: Trưởng thành, Thành công & Đúc kết (成長・成功と総括)",実際 (じっさい),"thực tế là, sự thực"
1154,30,"Chương 30: Trưởng thành, Thành công & Đúc kết (成長・成功と総括)",同様 (どうよう),"giống như, tương tự"
1155,30,"Chương 30: Trưởng thành, Thành công & Đúc kết (成長・成功と総括)",元々 (もともと),"ban đầu, vốn dĩ"
1156,30,"Chương 30: Trưởng thành, Thành công & Đúc kết (成長・成功と総括)",本来 (ほんらい),"từ trước tới giờ, nguyên bản, bản chất"
1157,30,"Chương 30: Trưởng thành, Thành công & Đúc kết (成長・成功と総括)",ある,"có, một số"
1158,30,"Chương 30: Trưởng thành, Thành công & Đúc kết (成長・成功と総括)",あらゆる,"tất cả, mọi"
1159,30,"Chương 30: Trưởng thành, Thành công & Đúc kết (成長・成功と総括)",たいした,"to tát, tuy không phải ~ nhưng"
1160,30,"Chương 30: Trưởng thành, Thành công & Đúc kết (成長・成功と総括)",いわゆる,"nói nôm na là, tức là, nghĩa là, nói cách khác..."
